iter	Passed	Remaining
917	18765	1676
918	18786	1655
919	18808	1635
920	18828	1615
921	18848	1594
922	18868	1574
923	18889	1553
924	18909	1533
925	18928	1512
926	18947	1492
927	18966	1471
928	18985	1450
929	19007	1430
930	19026	1410
931	19046	1389
932	19068	1369
933	19091	1349
934	19114	1328
935	19135	1308
936	19156	1288
937	19177	1267
938	19199	1247
939	19224	1227
940	19248	1206
941	19271	1186
942	19294	1166
943	19317	1145
944	19340	1125
945	19363	1105
946	19387	1085
947	19413	1064
948	19436	1044
949	19454	1023
950	19474	1003
951	19492	982
952	19512	962
953	19535	941
954	19556	921
955	19576	901
956	19597	880
957	19615	859
958	19637	839
959	19663	819
960	19693	799
961	19723	779
962	19746	758
963	19768	738
964	19790	717
965	19812	697
966	19832	676
967	19852	656
968	19870	635
969	19890	615
970	19915	594
971	19937	574
972	19958	553
973	19979	533
974	20000	512
975	20018	492
976	20039	471
977	20059	451
978	20079	430
979	20102	410
980	20122	389
981	20178	369
982	20229	349
983	20249	329
984	20270	308
985	20288	288
986	20308	267
987	20335	246
988	20357	226
989	20375	205
990	20394	185
991	20414	164
992	20435	144
993	20457	123
994	20480	102
995	20501	82
996	20520	61
997	20541	41
998	20561	20
999	20582	0
